dataset,KNN,LR,RF,NB,GB,ADA
covid19_33_of_69,0.9328153954728876,0.9361054103669835,0.9420934647823904,0.9101132211080515,0.9503185128418281,0.9470285195961274
covid19_34_of_69,0.9301173775999724,0.9338024757105003,0.9411724770959976,0.9014935877452762,0.9477526367745621,0.9444628167160249
covid19_35_of_69,0.9271571110649278,0.935908453265444,0.9416331333021597,0.9123512971718537,0.9485424568330995,0.9455814975494015
covid19_36_of_69,0.9274194246722434,0.9320258351950953,0.9418964210872691,0.9024141857605514,0.9511089390554373,0.9457131197935608
covid19_37_of_69,0.9320918411527337,0.9372906383678842,0.947555181759928,0.8792523726641381,0.9517011525605721,0.9499241656708406
covid19_38_of_69,0.9284069811745553,0.9376193259555603,0.9453181015223151,0.8822792080151018,0.950911289205244,0.9462394139346391
covid19_39_of_69,0.9269593962695485,0.9330787914999741,0.942356925754663,0.9016263573543929,0.9484106397533815,0.9434753035105038
covid19_40_of_69,0.9316972991461873,0.9397911579293743,0.9422255632912488,0.8940583597443756,0.9509772085693008,0.948740128331688
covid19_41_of_69,0.9264987400633865,0.9339343360870093,0.9404486629950988,0.8767522427737656,0.9458448069829064,0.943080848097539
covid19_42_of_69,0.9295249909076739,0.9353815529692939,0.9459767106562061,0.9198530939886735,0.9513722701373375,0.9458446554441385
covid19_43_of_69,0.926695892000485,0.9388693909007465,0.9411068175126861,0.8919515162536152,0.9488714042015207,0.9461077267452938
covid19_44_of_69,0.9297232685613341,0.93571076011846,0.9432128167160251,0.8825426906357702,0.9511088957586464,0.9466342373703259
covid19_45_of_69,0.927946563100743,0.9365669541573579,0.9444625352868845,0.900638497774545,0.9492002649763599,0.9478845404478621
covid19_46_of_69,0.9245248393689061,0.9337374006338651,0.9441340641831628,0.8816215947074003,0.9494642022133319,0.9443971138359224
covid19_47_of_69,0.9254456105713444,0.9349216111601809,0.9420936379695537,0.8948469674927695,0.9508454780831646,0.9465027017197485
covid19_48_of_69,0.9311710483018999,0.9380139545556883,0.9448577267452937,0.9136688834623579,0.9506485642784156,0.9478847352834208
covid19_49_of_69,0.9308417329107567,0.9359083450234669,0.9447919805684004,0.87701579033962,0.9498585710327152,0.9479505464055004
covid19_50_of_69,0.9256433253667238,0.9330790945775099,0.9422913311165375,0.9066913674858419,0.9478187942709686,0.943015275107809
covid19_51_of_69,0.9322897291352765,0.9370271124504251,0.9451866741137147,0.9140621049167835,0.9514379080722536,0.9490692055904816
covid19_52_of_69,0.9289290971753174,0.9339962721463084,0.9461044794859805,0.8929984326561715,0.951303125162363,0.9489999956703208
covid19_53_of_69,0.9273494570582429,0.9334039071024055,0.9438668796868775,0.9076083502190817,0.9485393611125543,0.9450518479070331
covid19_54_of_69,0.9263622902270484,0.9366283057099807,0.9404449611194818,0.9008299128868569,0.9483418628011291,0.9450515231811017
covid19_55_of_69,0.9312975182279489,0.9369574912107514,0.943801068564798,0.8798370525276665,0.9493287265547877,0.946762027848496
covid19_56_of_69,0.9272837758265358,0.937944506503178,0.9387997263642818,0.8898398884674668,0.9472231819677525,0.9450513932907294
covid19_57_of_69,0.9310998034325696,0.9359699996536257,0.9421556606224348,0.8826010330614296,0.9499209833567136,0.9460384302315512
covid19_58_of_69,0.9284023917147263,0.936233287438735,0.9426825825669802,0.9124132981763392,0.9484077605167904,0.9455122010356591
covid19_59_of_69,0.9247169472298713,0.9341935106769886,0.9429456538681353,0.9103722008624722,0.947551891203824,0.944985603817045
covid19_60_of_69,0.9316925797959856,0.9357726312325731,0.9436692514850801,0.9016184989868551,0.9515001472090889,0.9478150274501653
covid19_61_of_69,0.9259013958885369,0.935245882475191,0.9433403474134497,0.898855276146932,0.9488682002389982,0.9445906937877764
covid19_62_of_69,0.9278760326284615,0.9348513837654352,0.9424191432431028,0.8814173204482083,0.9487366645884207,0.9440642048111394
covid19_63_of_69,0.9318240937981676,0.9347196099825081,0.9441958270552986,0.9035271730659323,0.9504474290365597,0.9453802973623595
covid19_64_of_69,0.9280730546751874,0.9398524228884154,0.9416949611194818,0.9245856930084342,0.9506448407544033,0.9472888848478551
covid19_65_of_69,0.9313634159436102,0.9345881609255121,0.9441299942848236,0.8853648620564243,0.9489337732287282,0.9476834917995879
covid19_66_of_69,0.9256386926101037,0.9373522497012521,0.941827146221922,0.8855627716873625,0.9479472991461872,0.9468945160284721
covid19_67_of_69,0.9279415623214007,0.9389972896208933,0.9411028991531147,0.9185975303510503,0.9510397291352766,0.947157067768137
covid19_68_of_69,0.9291258594412982,0.9334690254758318,0.9435376725377115,0.8908921087269013,0.9484074574392547,0.9432087251692906
covid19_69_of_69,0.9299817071058692,0.9385367633051038,0.9431429356956063,0.8816801319686185,0.9468281420481113,0.9437352141459275
diabetes_1_of_1,0.7005517358458535,0.7579067990832696,0.7591545709192768,0.7526355996944233,0.7565571683218743,0.7357015533486122
symptoms_1_of_1,0.991260162601626,0.9030487804878048,0.9914634146341463,0.8804878048780488,0.9902439024390244,0.09024390243902439
stroke_1_of_1,0.937573385518591,0.9506849315068493,0.9500978473581213,0.8657534246575341,0.9499021526418787,0.950880626223092
hepatitisC_1_of_1,0.9337968998985948,0.9490801100970593,0.9422569897146168,0.9286976676807186,0.9456323337679271,0.9270172388816457
cirrhosis_1_of_1,0.5833116883116882,0.7352597402597404,0.7787012987012988,0.7498051948051948,0.732012987012987,0.7247402597402599
heartDisease_1_of_1,0.6666013304822999,0.8485982418626753,0.8856260394392969,0.8518769303872654,0.8682050368258494,0.8594915656925636
heartFailure_1_of_1,0.6185310734463276,0.8361016949152542,0.8528813559322034,0.7928248587570621,0.8394915254237286,0.8125988700564971
cardioDisease_1_of_4,0.5964384064855278,0.7035850637423884,0.713271101942582,0.7153765641540675,0.729574296752712,0.7241596771712675
cardioDisease_2_of_4,0.5983634537607557,0.7006373695972783,0.7162794893370611,0.7158580024067389,0.7328235208961031,0.7251231508373822
cardioDisease_3_of_4,0.6023351881508826,0.7070749255811007,0.7260857559060104,0.7269285488088452,0.7390207649086615,0.7333657971643912
cardioDisease_4_of_4,0.6008916696072311,0.7028040860273428,0.713211675397881,0.7146555920487139,0.7307785890719579,0.7269284040425974
indianLiver_1_of_1,0.6596491228070176,0.7210526315789473,0.7122807017543858,0.6333333333333334,0.687719298245614,0.6719298245614035
heartCleaveland_1_of_1,0.7134424313267096,0.8327878433664523,0.8089421390999416,0.8635885447106956,0.7817650496785506,0.7852133255406196
wisconsin_1_of_1,0.9297003570874087,0.9543238627542306,0.9595714951094549,0.935010091600683,0.9508150908244062,0.9684055270920664
hypothyroid_1_of_1,0.9145791992106018,0.9248181590622992,0.9606570579678074,0.42712250546883224,0.9902983098315638,0.9816755123289063
appendicitis_1_of_1,0.8199134199134199,0.8393939393939395,0.8670995670995671,0.8675324675324674,0.8575757575757574,0.8675324675324674
framingham_1_of_1,0.8140046945198209,0.8487411510543981,0.8471014330246014,0.8222100124838345,0.8457368078760288,0.8435431664087671
lowerback_1_of_1,0.9967741935483871,1.0,1.0,0.9774193548387096,0.9967741935483871,0.9967741935483871
breastCancer_1_of_1,0.9297003570874087,0.9543238627542306,0.9666200900481291,0.935010091600683,0.9525694767893185,0.9684055270920664
heart2020_1_of_21,0.8960538087583167,0.9143739076901845,0.910434099149656,0.9143082478083724,0.9138486286356867,0.9149649113160333
heart2020_2_of_21,0.8966445320628308,0.9143739076901845,0.9099085613370033,0.9143739076901845,0.9137829040643359,0.9127980274003322
heart2020_3_of_21,0.8957910614151698,0.9143739076901845,0.9090549613102651,0.9138486286356869,0.9153591078018817,0.9159500467381918
heart2020_4_of_21,0.8971041296723368,0.9143739076901845,0.9103683961414847,0.9143082478083724,0.9126666213839896,0.9136517999325072
heart2020_5_of_21,0.8970382972850878,0.9143739076901845,0.9085954715166571,0.9143739076901845,0.9131263268093933,0.9127322812658019
heart2020_6_of_21,0.8977606638009201,0.9143739076901845,0.9097116895074645,0.9143739076901845,0.9132575818834792,0.9131918141857689
heart2020_7_of_21,0.8979577728254341,0.9143739076901845,0.9080046188330654,0.913651605863891,0.9133233711443687,0.9129292609112385
heart2020_8_of_21,0.896572273848068,0.9144339611453068,0.9105594459125376,0.913842957519458,0.914171256928519,0.9141057479889639
heart2020_9_of_21,0.8942737251578693,0.9144339611453068,0.9091803727626854,0.914368279700315,0.9149593264525226,0.9140398940385355
heart2020_10_of_21,0.8950617299923342,0.9144339611453068,0.9090490098727017,0.9134489551022256,0.912989443745438,0.9138429143930988
heart2020_11_of_21,0.8968346761803414,0.9144339611453068,0.908983026543196,0.914171256928519,0.9140399371648946,0.9135145718576787
heart2020_12_of_21,0.898739049947871,0.9144339611453068,0.9078014505550902,0.9143026413816824,0.9137773192008254,0.9127266101495731
