dataset,KNN,LR,RF,NB,GB,ADA
symptoms_1_of_10,0.8841269841269842,0.833353947639662,0.9512059369202227,0.8516594516594516,0.9349824778396207,0.07318078746650175
symptoms_2_of_10,0.8882498453927026,0.8516594516594516,0.9472273757988043,0.8741496598639455,0.9431869717584004,0.0670995670995671
symptoms_3_of_10,0.900247371675943,0.8881467738610596,0.9533292104720676,0.8638425066996496,0.9553494124922697,0.07520098948670377
symptoms_4_of_10,0.8943104514533087,0.8556586270871985,0.9532261389404246,0.8780457637600495,0.9511853226138941,0.08536384250669964
symptoms_5_of_10,0.9003916718202433,0.8454545454545455,0.9614100185528758,0.8048237476808906,0.9532261389404246,0.07926200783343641
symptoms_6_of_10,0.8821067821067821,0.8476190476190476,0.9694702123273553,0.8413522984951557,0.9491445062873634,0.07316017316017316
symptoms_7_of_10,0.8963100391671819,0.8435168006596578,0.9633889919604204,0.8393114821686251,0.9450834879406308,0.0813440527726242
symptoms_8_of_10,0.9004329004329005,0.882209853638425,0.957349000206143,0.8577819006390435,0.9491857349000206,0.07932385075242218
symptoms_9_of_10,0.9044114615543186,0.8434137291280148,0.9572253143681715,0.8312306740878169,0.9388785817357247,0.08738404452690166
symptoms_10_of_10,0.8902082044939188,0.8637600494743352,0.9572871572871573,0.8515976087404658,0.9491651205936922,0.08542568542568543
stroke_1_of_10,0.9471730439748715,0.9491147915476871,0.9510755758614126,0.8747382448124881,0.9354273748334286,0.9334665905197032
stroke_2_of_10,0.9295069484104321,0.9451932229202361,0.9510755758614126,0.6105844279459356,0.9373500856653341,0.937369122406244
stroke_3_of_10,0.9354083380925186,0.9451932229202361,0.9471730439748715,0.8434799162383401,0.9451932229202361,0.933504664001523
stroke_4_of_10,0.9393299067199695,0.9471540072339616,0.9471730439748715,0.8845421663811155,0.9197411003236248,0.9373881591471541
stroke_5_of_10,0.9334475537787931,0.9491338282885969,0.9510755758614126,0.8728155339805825,0.9373881591471541,0.9413097277746051
stroke_6_of_10,0.9393489434608796,0.9471730439748715,0.9471540072339616,0.8669141442984962,0.9393299067199695,0.9275842375785267
stroke_7_of_10,0.9471349704930516,0.9471540072339616,0.9510755758614126,0.8138968208642681,0.9432134018656007,0.9255853797829812
stroke_8_of_10,0.9432514753474207,0.9491147915476871,0.9491147915476871,0.8707976394441271,0.9412716542927851,0.9314867694650676
stroke_9_of_10,0.9373881591471541,0.9432514753474205,0.9491147915476871,0.8786407766990291,0.9393489434608796,0.9295450218922522
stroke_10_of_10,0.9510375023795927,0.9510755758614126,0.953036360175138,0.8746811345897582,0.9510755758614126,0.9529792499524081
heartDisease_1_of_10,0.749122807017544,0.8608187134502924,0.7842105263157895,0.8491228070175438,0.7403508771929825,0.8157894736842104
heartDisease_2_of_10,0.6742690058479532,0.8245614035087719,0.8894736842105262,0.802923976608187,0.8350877192982455,0.7614035087719299
heartDisease_3_of_10,0.5549707602339182,0.7368421052631579,0.7374269005847953,0.8035087719298246,0.6941520467836257,0.6175438596491227
heartDisease_4_of_10,0.7052631578947368,0.8269005847953217,0.9023391812865498,0.8923976608187134,0.8923976608187134,0.8052631578947368
heartDisease_5_of_10,0.5666666666666667,0.8368421052631578,0.9239766081871345,0.8807017543859649,0.8578947368421053,0.8169590643274853
heartDisease_6_of_10,0.6736842105263158,0.8263157894736842,0.7935672514619883,0.8385964912280702,0.750877192982456,0.7497076023391813
heartDisease_7_of_10,0.6105263157894737,0.8163742690058479,0.8374269005847953,0.8695906432748538,0.8175438596491228,0.7719298245614035
heartDisease_8_of_10,0.6292397660818713,0.85906432748538,0.8485380116959064,0.8280701754385966,0.8596491228070174,0.8818713450292396
heartDisease_9_of_10,0.6152046783625732,0.8350877192982455,0.802923976608187,0.8023391812865498,0.7695906432748538,0.7473684210526315
heartDisease_10_of_10,0.5257309941520468,0.760233918128655,0.747953216374269,0.7584795321637426,0.7140350877192982,0.6152046783625731
hypothyroid_1_of_10,0.9005405405405404,0.9141261261261262,0.9327567567567566,0.33599999999999997,0.9705585585585587,0.9731171171171171
hypothyroid_2_of_10,0.9163963963963964,0.9191711711711712,0.9353513513513514,0.4259459459459459,0.9623423423423425,0.9596756756756758
hypothyroid_3_of_10,0.9003243243243242,0.9272432432432434,0.9245405405405405,0.3936936936936937,0.9380540540540541,0.9541981981981982
hypothyroid_4_of_10,0.8948828828828829,0.9218378378378379,0.921873873873874,0.29387387387387387,0.9138738738738738,0.9057297297297298
hypothyroid_5_of_10,0.9137657657657657,0.9164324324324324,0.9272432432432431,0.390990990990991,0.9595675675675676,0.9595675675675676
hypothyroid_6_of_10,0.9109909909909911,0.9245045045045046,0.9407207207207208,0.36111711711711714,0.9541981981981982,0.9487927927927927
hypothyroid_7_of_10,0.9137297297297298,0.9244684684684685,0.929873873873874,0.34248648648648644,0.9407207207207208,0.962234234234234
hypothyroid_8_of_10,0.902954954954955,0.9326126126126125,0.9299459459459459,0.3476396396396397,0.9515315315315316,0.964972972972973
hypothyroid_9_of_10,0.8948468468468468,0.9137297297297297,0.9299099099099098,0.3532612612612613,0.9784504504504504,0.9784144144144145
hypothyroid_10_of_10,0.8921801801801802,0.9165405405405405,0.9191711711711712,0.34490090090090086,0.9542702702702703,0.9489009009009008
framingham_1_of_10,0.81965938541281,0.8415401703072936,0.8333209922251019,0.8058496853017401,0.8250647908182154,0.8031840059237318
framingham_2_of_10,0.811477230655313,0.8470936690114772,0.8334320621991853,0.7979266938171048,0.8142910033320993,0.7950758978156238
framingham_3_of_10,0.81965938541281,0.8552017771195853,0.838837467604591,0.7790077748981858,0.8115142539800073,0.7788226582747131
framingham_4_of_10,0.8006664198445019,0.8415401703072936,0.8387263976305073,0.8415031469825991,0.8442798963346909,0.8115512773047019
framingham_5_of_10,0.8251018141429102,0.8388004442798962,0.8333209922251019,0.7349129951869677,0.8224361347649018,0.8169196593854128
framingham_6_of_10,0.8279155868196962,0.8442798963346908,0.8333209922251017,0.8004442798963346,0.8333209922251019,0.8059607552758237
framingham_7_of_10,0.821917808219178,0.8438356164383561,0.841095890410959,0.8191780821917808,0.8219178082191781,0.7808219178082192
framingham_8_of_10,0.8219178082191781,0.841095890410959,0.8301369863013699,0.8383561643835616,0.8246575342465754,0.7917808219178082
framingham_9_of_10,0.8027397260273972,0.8438356164383561,0.8493150684931507,0.8301369863013699,0.8301369863013697,0.8
framingham_10_of_10,0.8,0.8602739726027396,0.8301369863013699,0.7890410958904109,0.8164383561643836,0.8191780821917808
heartBeat_1_of_10,0.9993127147766323,0.9608647554488539,0.9883302735018595,0.7596267005601846,1.0,1.0
heartBeat_2_of_10,1.0,0.9697900484865603,0.986948641905569,0.7630584192439862,1.0,1.0
heartBeat_3_of_10,0.9993127147766323,0.9800687285223368,0.9876288659793815,0.7793814432989692,0.9986254295532646,0.9986254295532646
heartBeat_4_of_10,1.0,0.9800687285223366,0.9896907216494846,0.7360824742268042,1.0,1.0
heartBeat_5_of_10,1.0,0.9752577319587628,0.9890034364261169,0.7656357388316152,1.0,1.0
heartBeat_6_of_10,0.9993127147766323,0.9814432989690722,0.9938144329896907,0.7223367697594502,0.9993127147766323,0.9993127147766323
heartBeat_7_of_10,1.0,0.9642611683848796,0.9917525773195877,0.7731958762886597,0.9986254295532646,0.9986254295532646
heartBeat_8_of_10,1.0,0.9704467353951889,0.9883161512027492,0.7676975945017182,0.9986254295532646,0.9986254295532646
heartBeat_9_of_10,1.0,0.9821305841924399,0.9917525773195877,0.7807560137457045,1.0,1.0
heartBeat_10_of_10,0.9993127147766323,0.9711340206185566,0.9876288659793815,0.770446735395189,0.9993127147766323,0.9993127147766323
fetalHealth_1_of_10,0.8217054263565892,0.8499446290143965,0.8919158361018826,0.7466223698781839,0.9059800664451828,0.8403100775193797
fetalHealth_2_of_10,0.8264673311184939,0.8452934662236988,0.8780730897009967,0.7748615725359912,0.8966777408637874,0.8031007751937983
fetalHealth_3_of_10,0.8169435215946844,0.8821705426356589,0.8966777408637873,0.7459579180509414,0.896345514950166,0.8310077519379846
fetalHealth_4_of_10,0.8403100775193797,0.8730897009966776,0.8964562569213731,0.7984496124031008,0.8732004429678849,0.8028792912513844
fetalHealth_5_of_10,0.8219269102990033,0.8637873754152825,0.92015503875969,0.7561461794019932,0.887264673311185,0.7094130675526025
fetalHealth_6_of_10,0.7983388704318938,0.8830564784053155,0.892358803986711,0.84562569213732,0.9016611295681063,0.8829457364341085
fetalHealth_7_of_10,0.8160575858250277,0.8675526024363233,0.9058693244739755,0.816389811738649,0.9151716500553709,0.7604651162790697
fetalHealth_8_of_10,0.816389811738649,0.8306755260243633,0.8777408637873755,0.7305647840531562,0.8679955703211517,0.8491694352159469
fetalHealth_9_of_10,0.8870431893687709,0.8676633444075306,0.9291251384274639,0.839424141749723,0.934108527131783,0.9056478405315614
fetalHealth_10_of_10,0.8111849390919159,0.8726467331118494,0.9058693244739755,0.8255813953488371,0.93421926910299,0.9058693244739757
fetalCardio_1_of_10,0.7748615725359912,0.7648947951273533,0.8120708748615725,0.7559246954595792,0.8121816168327797,0.8122923588039868
fetalCardio_2_of_10,0.7610188261351052,0.7697674418604651,0.8549280177187153,0.6671096345514951,0.8688815060908084,0.7744186046511627
fetalCardio_3_of_10,0.7741971207087486,0.8023255813953488,0.8593576965669989,0.7887043189368771,0.8308970099667775,0.8173864894795126
fetalCardio_4_of_10,0.774640088593577,0.8117386489479512,0.8452934662236988,0.807530454042082,0.8452934662236988,0.7744186046511627
fetalCardio_5_of_10,0.7842746400885936,0.7794019933554817,0.8261351052048725,0.7231450719822814,0.8358803986710963,0.7840531561461794
fetalCardio_6_of_10,0.8407530454042081,0.8358803986710963,0.8966777408637874,0.873421926910299,0.8641196013289036,0.8310077519379846
fetalCardio_7_of_10,0.7357696566998893,0.8021040974529345,0.8489479512735327,0.8347729789590254,0.8254706533776301,0.8159468438538205
fetalCardio_8_of_10,0.7736434108527132,0.7924695459579181,0.8537098560354375,0.7589147286821706,0.8537098560354375,0.8304540420819491
fetalCardio_9_of_10,0.849501661129568,0.835548172757475,0.9293466223698783,0.7310077519379845,0.8965669988925802,0.8776301218161684
fetalCardio_10_of_10,0.7678848283499446,0.8396456256921372,0.863233665559247,0.7314507198228128,0.8349944629014395,0.7541528239202658
diabetes2019_1_of_10,0.6142105263157894,0.8131578947368421,0.8347368421052632,0.8231578947368421,0.8236842105263158,0.7926315789473685
diabetes2019_2_of_10,0.6147368421052631,0.8326315789473684,0.8121052631578948,0.748421052631579,0.8642105263157894,0.811578947368421
diabetes2019_3_of_10,0.7473684210526317,0.9263157894736842,0.8842105263157893,0.8421052631578949,0.8842105263157896,0.8631578947368421
diabetes2019_4_of_10,0.6421052631578947,0.8526315789473685,0.8315789473684211,0.7894736842105263,0.8736842105263157,0.8210526315789473
